date,value
1959-01-01,1336.0
1959-02-01,1317.0
1959-03-01,1254.0
1959-04-01,1282.0
1959-05-01,1213.0
1959-06-01,1203.0
1959-07-01,1256.0
1959-08-01,1193.0
1959-09-01,1275.0
1959-10-01,1043.0
1959-11-01,1163.0
1959-12-01,1410.0
1960-01-01,1211.0
1960-02-01,1208.0
1960-03-01,904.0
1960-04-01,1049.0
1960-05-01,1009.0
1960-06-01,1003.0
1960-07-01,947.0
1960-08-01,1091.0
1960-09-01,865.0
1960-10-01,922.0
1960-11-01,949.0
1960-12-01,841.0
1961-01-01,898.0
1961-02-01,948.0
1961-03-01,957.0
1961-04-01,879.0
1961-05-01,938.0
1961-06-01,1011.0
1961-07-01,1004.0
1961-08-01,973.0
1961-09-01,1052.0
1961-10-01,993.0
1961-11-01,1018.0
1961-12-01,1005.0
1962-01-01,974.0
1962-02-01,946.0
1962-03-01,979.0
1962-04-01,1027.0
1962-05-01,1032.0
1962-06-01,951.0
1962-07-01,983.0
1962-08-01,1053.0
1962-09-01,866.0
1962-10-01,990.0
1962-11-01,1080.0
1962-12-01,998.0
1963-01-01,810.0
1963-02-01,977.0
1963-03-01,962.0
1963-04-01,1096.0
1963-05-01,1071.0
1963-06-01,1007.0
1963-07-01,1031.0
1963-08-01,1056.0
1963-09-01,1106.0
1963-10-01,1088.0
1963-11-01,1032.0
1963-12-01,852.0
1964-01-01,1023.0
1964-02-01,1162.0
1964-03-01,931.0
1964-04-01,901.0
1964-05-01,947.0
1964-06-01,981.0
1964-07-01,969.0
1964-08-01,990.0
1964-09-01,957.0
1964-10-01,996.0
1964-11-01,930.0
1964-12-01,963.0
1965-01-01,902.0
1965-02-01,853.0
1965-03-01,929.0
1965-04-01,950.0
1965-05-01,949.0
1965-06-01,947.0
1965-07-01,1033.0
1965-08-01,958.0
1965-09-01,962.0
1965-10-01,954.0
1965-11-01,992.0
1965-12-01,1093.0
1966-01-01,848.0
1966-02-01,910.0
1966-03-01,950.0
1966-04-01,879.0
1966-05-01,822.0
1966-06-01,783.0
1966-07-01,739.0
1966-08-01,746.0
1966-09-01,699.0
1966-10-01,597.0
1966-11-01,679.0
1966-12-01,666.0
1967-01-01,768.0
1967-02-01,724.0
1967-03-01,757.0
1967-04-01,755.0
1967-05-01,852.0
1967-06-01,859.0
1967-07-01,875.0
1967-08-01,903.0
1967-09-01,912.0
1967-10-01,910.0
1967-11-01,942.0
1967-12-01,819.0
1968-01-01,839.0
1968-02-01,993.0
1968-03-01,912.0
1968-04-01,925.0
1968-05-01,850.0
1968-06-01,799.0
1968-07-01,923.0
1968-08-01,888.0
1968-09-01,924.0
1968-10-01,953.0
1968-11-01,877.0
1968-12-01,921.0
1969-01-01,967.0
1969-02-01,876.0
1969-03-01,836.0
1969-04-01,815.0
1969-05-01,897.0
1969-06-01,814.0
1969-07-01,792.0
1969-08-01,745.0
1969-09-01,824.0
1969-10-01,757.0
1969-11-01,740.0
1969-12-01,722.0
1970-01-01,596.0
1970-02-01,740.0
1970-03-01,726.0
1970-04-01,720.0
1970-05-01,749.0
1970-06-01,806.0
1970-07-01,818.0
1970-08-01,834.0
1970-09-01,865.0
1970-10-01,883.0
1970-11-01,926.0
1970-12-01,1108.0
1971-01-01,1004.0
1971-02-01,1009.0
1971-03-01,1078.0
1971-04-01,1134.0
1971-05-01,1151.0
1971-06-01,1159.0
1971-07-01,1148.0
1971-08-01,1174.0
1971-09-01,1155.0
1971-10-01,1212.0
1971-11-01,1225.0
1971-12-01,1302.0
1972-01-01,1409.0
1972-02-01,1249.0
1972-03-01,1320.0
1972-04-01,1239.0
1972-05-01,1275.0
1972-06-01,1273.0
1972-07-01,1290.0
1972-08-01,1345.0
1972-09-01,1399.0
1972-10-01,1341.0
1972-11-01,1332.0
1972-12-01,1259.0
1973-01-01,1431.0
1973-02-01,1341.0
1973-03-01,1237.0
1973-04-01,1216.0
1973-05-01,1220.0
1973-06-01,1106.0
1973-07-01,1178.0
1973-08-01,1106.0
1973-09-01,1019.0
1973-10-01,970.0
1973-11-01,960.0
1973-12-01,824.0
1974-01-01,813.0
1974-02-01,991.0
1974-03-01,970.0
1974-04-01,1004.0
1974-05-01,909.0
1974-06-01,979.0
1974-07-01,906.0
1974-08-01,817.0
1974-09-01,860.0
1974-10-01,770.0
1974-11-01,808.0
1974-12-01,760.0
1975-01-01,765.0
1975-02-01,667.0
1975-03-01,769.0
1975-04-01,787.0
1975-05-01,885.0
1975-06-01,872.0
1975-07-01,919.0
1975-08-01,973.0
1975-09-01,957.0
1975-10-01,1039.0
1975-11-01,1035.0
1975-12-01,1025.0
1976-01-01,1059.0
1976-02-01,1255.0
1976-03-01,1110.0
1976-04-01,1076.0
1976-05-01,1093.0
1976-06-01,1127.0
1976-07-01,1126.0
1976-08-01,1177.0
1976-09-01,1226.0
1976-10-01,1230.0
1976-11-01,1212.0
1976-12-01,1307.0
1977-01-01,1100.0
1977-02-01,1503.0
1977-03-01,1486.0
1977-04-01,1421.0
1977-05-01,1466.0
1977-06-01,1389.0
1977-07-01,1450.0
1977-08-01,1442.0
1977-09-01,1475.0
1977-10-01,1487.0
1977-11-01,1499.0
1977-12-01,1530.0
1978-01-01,1257.0
1978-02-01,1235.0
1978-03-01,1429.0
1978-04-01,1517.0
1978-05-01,1508.0
1978-06-01,1430.0
1978-07-01,1459.0
1978-08-01,1425.0
1978-09-01,1389.0
1978-10-01,1384.0
1978-11-01,1525.0
1978-12-01,1460.0
1979-01-01,1110.0
1979-02-01,1052.0
1979-03-01,1322.0
1979-04-01,1287.0
1979-05-01,1277.0
1979-06-01,1316.0
1979-07-01,1192.0
1979-08-01,1223.0
1979-09-01,1188.0
1979-10-01,1119.0
1979-11-01,957.0
1979-12-01,1016.0
1980-01-01,940.0
1980-02-01,809.0
1980-03-01,633.0
1980-04-01,645.0
1980-05-01,656.0
1980-06-01,772.0
1980-07-01,857.0
1980-08-01,992.0
1980-09-01,1019.0
1980-10-01,1009.0
1980-11-01,993.0
1980-12-01,935.0
1981-01-01,945.0
1981-02-01,806.0
1981-03-01,852.0
